epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,152.514,1.7898,1.91273,1.94957,0.76825,0.83044,0.80713,0.38524,1.75875,1.18219,1.87975,0.00997732,0.00332577,0.00997732,0.00332577,0.00997732,0.00332577,0.00997732,0.00332577
2,283.341,1.61645,1.19928,1.72468,0.85715,0.86021,0.85654,0.43329,1.6651,0.98409,1.77772,0.0199761,0.0066587,0.0199761,0.0066587,0.0199761,0.0066587,0.0199761,0.0066587
3,412.863,1.62432,1.16874,1.70726,0.85064,0.78786,0.86127,0.45987,1.6273,1.00331,1.74089,0.02997,0.00999,0.02997,0.00999,0.02997,0.00999,0.02997,0.00999
4,538.116,1.62273,1.16697,1.70246,0.79591,0.77075,0.81785,0.42072,1.71448,1.03716,1.86135,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945,0.0299835,0.0099945
5,662.727,1.58115,1.11787,1.67928,0.8324,0.83651,0.89279,0.488,1.561,0.93812,1.66762,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023,0.0299707,0.00999023
6,789.565,1.54642,1.06468,1.62216,0.86371,0.81412,0.86756,0.44926,1.64914,0.92616,1.79604,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474,0.0299542,0.00998474
7,915.448,1.50938,1.04914,1.61241,0.87738,0.8188,0.89181,0.47204,1.63632,0.88384,1.74372,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803,0.0299341,0.00997803
8,1042.88,1.48381,1.00283,1.59397,0.89054,0.86708,0.91393,0.54394,1.40334,0.80938,1.5239,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011,0.0299103,0.00997011
9,1171.54,1.4488,0.97719,1.56639,0.86529,0.85532,0.90255,0.50839,1.46871,0.86454,1.59283,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097,0.0298829,0.00996097
10,1298.49,1.43105,0.97357,1.55809,0.88186,0.85956,0.91802,0.56115,1.32336,0.78278,1.50742,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062,0.0298519,0.00995062
11,1424.96,1.40232,0.95108,1.54395,0.86465,0.8589,0.90505,0.52569,1.45572,0.84647,1.56908,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906,0.0298172,0.00993906
12,1549.39,1.3835,0.91964,1.52826,0.90022,0.88725,0.93892,0.56387,1.36662,0.75089,1.49366,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629,0.0297789,0.00992629
13,1674.38,1.37642,0.90484,1.52858,0.89368,0.86057,0.91729,0.57611,1.27733,0.75437,1.44648,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232,0.029737,0.00991232
14,1798.94,1.34222,0.89151,1.495,0.89985,0.86808,0.92551,0.59492,1.23874,0.71616,1.42381,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715,0.0296915,0.00989715
15,1923.76,1.3225,0.87492,1.48229,0.8778,0.88566,0.93388,0.58554,1.2595,0.71416,1.43309,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079,0.0296424,0.00988079
16,2047.89,1.31843,0.87516,1.48435,0.89182,0.86563,0.92595,0.59137,1.27246,0.72357,1.41808,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323,0.0295897,0.00986323
17,2170.18,1.31292,0.86138,1.4689,0.89278,0.89181,0.9376,0.62047,1.19769,0.69447,1.40388,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449,0.0295335,0.00984449
18,2294.68,1.28896,0.83974,1.45527,0.93024,0.86931,0.93528,0.62661,1.16657,0.66474,1.3768,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456,0.0294737,0.00982456
19,2418.82,1.28682,0.83127,1.46009,0.90779,0.90296,0.93507,0.63112,1.15743,0.64591,1.36351,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345,0.0294104,0.00980345
20,2542.63,1.26816,0.8211,1.44263,0.906,0.89506,0.94015,0.62249,1.16654,0.65452,1.35437,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118,0.0293435,0.00978118
21,2665.3,1.25216,0.80265,1.42637,0.89559,0.89701,0.93144,0.60393,1.22827,0.69095,1.39597,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773,0.0292732,0.00975773
22,2789.7,1.23852,0.80195,1.42364,0.92157,0.89644,0.94077,0.62739,1.18482,0.63266,1.37459,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312,0.0291994,0.00973312
23,2916.26,1.24867,0.8018,1.43351,0.92437,0.88797,0.94369,0.64383,1.12457,0.62904,1.35447,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736,0.0291221,0.00970736
24,3041.08,1.22097,0.77433,1.4043,0.92201,0.88256,0.93598,0.63028,1.16816,0.64437,1.3705,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045,0.0290413,0.00968045
25,3162.32,1.21056,0.774,1.40446,0.89106,0.88971,0.92982,0.6404,1.11479,0.64402,1.33397,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239,0.0289572,0.00965239
26,3283.97,1.19565,0.76723,1.39297,0.91821,0.88619,0.94022,0.6383,1.15045,0.64293,1.33481,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232,0.0288696,0.0096232
27,3407.33,1.19482,0.76914,1.38718,0.9127,0.90068,0.93138,0.64671,1.09544,0.6094,1.31252,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289,0.0287787,0.00959289
28,3531.63,1.18707,0.76027,1.3873,0.90746,0.90832,0.93376,0.64993,1.07734,0.61162,1.31202,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145,0.0286843,0.00956145
29,3655.85,1.17104,0.74716,1.36719,0.90716,0.89037,0.93511,0.65767,1.07476,0.60025,1.29841,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889,0.0285867,0.00952889
30,3781.31,1.16359,0.74152,1.3607,0.91417,0.90435,0.94391,0.66353,1.05581,0.56997,1.29783,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524,0.0284857,0.00949524
31,3905.67,1.15394,0.72595,1.3561,0.91285,0.90043,0.94603,0.66417,1.06507,0.59291,1.2969,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048,0.0283814,0.00946048
32,4030.73,1.1531,0.72157,1.36692,0.92963,0.90482,0.95312,0.66736,1.08023,0.57191,1.31401,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464,0.0282739,0.00942464
33,4155.57,1.15026,0.72643,1.36711,0.92087,0.90064,0.94276,0.67088,1.03693,0.57592,1.28156,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772,0.0281632,0.00938772
34,4282.84,1.13985,0.71607,1.35147,0.93045,0.90052,0.94397,0.66608,1.05369,0.58647,1.31366,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973,0.0280492,0.00934973
35,4407.44,1.13196,0.70073,1.34581,0.90718,0.92497,0.95052,0.679,1.03136,0.55264,1.27955,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067,0.027932,0.00931067
36,4533.23,1.11202,0.69614,1.3344,0.93388,0.89794,0.95007,0.68874,1.012,0.55877,1.26986,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057,0.0278117,0.00927057
